v: 35246, parent: 0, key: 0.063900
v: 55364, parent: 35246, key: 0.123100
v: 5247, parent: 55364, key: 0.033100
v: 64362, parent: 5247, key: 0.067100
v: 27164, parent: 55364, key: 0.079400
v: 95531, parent: 27164, key: 0.040800
v: 18982, parent: 95531, key: 0.004100
v: 62392, parent: 95531, key: 0.023100
v: 35010, parent: 95531, key: 0.058500
v: 99097, parent: 35010, key: 0.011600
v: 98945, parent: 35010, key: 0.049400
v: 44922, parent: 98945, key: 0.003400
v: 45550, parent: 98945, key: 0.053500
v: 34558, parent: 45550, key: 0.037900
v: 32065, parent: 34558, key: 0.007600
v: 27579, parent: 34558, key: 0.013600
v: 82044, parent: 34558, key: 0.034600
v: 16889, parent: 82044, key: 0.000500
v: 37056, parent: 34558, key: 0.050700
v: 879, parent: 27579, key: 0.058200
v: 84425, parent: 879, key: 0.006900
v: 82105, parent: 62392, key: 0.061900
v: 77600, parent: 32065, key: 0.063600
v: 57149, parent: 84425, key: 0.066000
v: 66940, parent: 57149, key: 0.000800
v: 500, parent: 66940, key: 0.004600
v: 27098, parent: 879, key: 0.068500
v: 78949, parent: 879, key: 0.070900
v: 58230, parent: 34558, key: 0.074100
v: 65519, parent: 58230, key: 0.063500
v: 72491, parent: 45550, key: 0.075300
v: 38420, parent: 72491, key: 0.029100
v: 87914, parent: 38420, key: 0.018800
v: 49137, parent: 38420, key: 0.031300
v: 88208, parent: 72491, key: 0.031400
v: 90604, parent: 88208, key: 0.000500
v: 92070, parent: 500, key: 0.076000
v: 45422, parent: 27579, key: 0.083500
v: 63105, parent: 66940, key: 0.084500
v: 98547, parent: 63105, key: 0.045800
v: 32478, parent: 98547, key: 0.016600
v: 38499, parent: 32478, key: 0.052000
v: 13858, parent: 38499, key: 0.015100
v: 17104, parent: 13858, key: 0.007000
v: 15034, parent: 38499, key: 0.021600
v: 44273, parent: 15034, key: 0.027900
v: 93784, parent: 13858, key: 0.038500
v: 22899, parent: 38499, key: 0.044500
v: 43178, parent: 93784, key: 0.048000
v: 2953, parent: 43178, key: 0.055900
v: 60727, parent: 2953, key: 0.027400
v: 21252, parent: 60727, key: 0.004700
v: 59123, parent: 21252, key: 0.005400
v: 76373, parent: 98547, key: 0.061400
v: 38040, parent: 76373, key: 0.031100
v: 85160, parent: 38040, key: 0.023600
v: 90127, parent: 2953, key: 0.085400
v: 69469, parent: 45550, key: 0.093000
v: 25051, parent: 69469, key: 0.005500
v: 80601, parent: 25051, key: 0.030900
v: 59380, parent: 69469, key: 0.078200
v: 81895, parent: 87914, key: 0.096500
v: 56813, parent: 81895, key: 0.044000
v: 25055, parent: 56813, key: 0.039900
v: 80037, parent: 81895, key: 0.083300
v: 3533, parent: 43178, key: 0.098300
v: 40030, parent: 18982, key: 0.100100
v: 77146, parent: 40030, key: 0.023100
v: 81549, parent: 40030, key: 0.067500
v: 88584, parent: 81549, key: 0.015500
v: 29855, parent: 81549, key: 0.032000
v: 29389, parent: 88584, key: 0.055100
v: 39014, parent: 77146, key: 0.069000
v: 15933, parent: 81549, key: 0.081100
v: 79210, parent: 15933, key: 0.064600
v: 91346, parent: 79210, key: 0.023200
v: 98573, parent: 79210, key: 0.061500
v: 20777, parent: 98573, key: 0.057700
v: 65661, parent: 98573, key: 0.085200
v: 29730, parent: 81549, key: 0.093400
v: 27536, parent: 29730, key: 0.020700
v: 90246, parent: 29730, key: 0.082200
v: 81365, parent: 90246, key: 0.007800
v: 59661, parent: 81365, key: 0.001200
v: 71770, parent: 59661, key: 0.046600
v: 5715, parent: 71770, key: 0.019800
v: 99763, parent: 71770, key: 0.040000
v: 17381, parent: 71770, key: 0.055900
v: 4464, parent: 81365, key: 0.072700
v: 35764, parent: 29730, key: 0.086400
v: 25096, parent: 91346, key: 0.096800
v: 76540, parent: 29855, key: 0.099400
v: 66416, parent: 95531, key: 0.100900
v: 11348, parent: 27164, key: 0.101000
v: 26407, parent: 66940, key: 0.102900
v: 19570, parent: 26407, key: 0.042200
v: 94036, parent: 78949, key: 0.104500
v: 15072, parent: 76540, key: 0.105400
v: 39947, parent: 15072, key: 0.030300
v: 25756, parent: 15072, key: 0.052100
v: 82223, parent: 25756, key: 0.027100
v: 40190, parent: 81365, key: 0.108600
v: 60854, parent: 64362, key: 0.109100
v: 73688, parent: 60854, key: 0.065500
v: 93505, parent: 73688, key: 0.013000
v: 71872, parent: 93505, key: 0.018700
v: 81670, parent: 71872, key: 0.024100
v: 48708, parent: 81670, key: 0.038900
v: 89070, parent: 48708, key: 0.061000
v: 75398, parent: 89070, key: 0.016500
v: 236, parent: 89070, key: 0.070400
v: 14949, parent: 236, key: 0.013900
v: 11694, parent: 236, key: 0.045700
v: 22202, parent: 236, key: 0.072500
v: 63634, parent: 22202, key: 0.071100
v: 83097, parent: 75398, key: 0.092900
v: 41880, parent: 71872, key: 0.107800
v: 14323, parent: 41880, key: 0.022700
v: 8506, parent: 41880, key: 0.064900
v: 91716, parent: 14323, key: 0.070500
v: 70049, parent: 91716, key: 0.097700
v: 40888, parent: 70049, key: 0.097500
