v: 25250, parent: 13897, key: 0.072800
v: 883, parent: 25250, key: 0.196100
v: 10755, parent: 883, key: 0.128000
v: 33529, parent: 13897, key: 0.265800
v: 19700, parent: 10755, key: 0.401400
v: 651, parent: 19700, key: 0.072700
v: 66278, parent: 651, key: 0.106700
v: 49899, parent: 66278, key: 0.137900
v: 20689, parent: 49899, key: 0.209100
v: 30157, parent: 651, key: 0.358400
v: 12092, parent: 30157, key: 0.286500
v: 62527, parent: 13897, key: 0.427400
v: 37912, parent: 62527, key: 0.023600
v: 10230, parent: 37912, key: 0.142600
v: 51451, parent: 37912, key: 0.145700
v: 88910, parent: 51451, key: 0.207200
v: 72911, parent: 88910, key: 0.050100
v: 90151, parent: 72911, key: 0.357700
v: 67319, parent: 37912, key: 0.429500
v: 91158, parent: 67319, key: 0.426400
v: 40036, parent: 91158, key: 0.164600
v: 82229, parent: 40036, key: 0.011400
v: 34157, parent: 82229, key: 0.013000
v: 64270, parent: 34157, key: 0.099100
v: 73736, parent: 34157, key: 0.216600
v: 47160, parent: 73736, key: 0.166300
v: 97143, parent: 47160, key: 0.000800
v: 76372, parent: 97143, key: 0.178300
v: 75950, parent: 97143, key: 0.245500
v: 34291, parent: 75950, key: 0.103800
v: 85811, parent: 75950, key: 0.294600
v: 19356, parent: 85811, key: 0.073900
v: 13713, parent: 19356, key: 0.103400
v: 23992, parent: 97143, key: 0.362700
v: 38319, parent: 73736, key: 0.384900
v: 93472, parent: 38319, key: 0.089800
v: 92323, parent: 38319, key: 0.121700
v: 39235, parent: 38319, key: 0.165100
v: 72403, parent: 92323, key: 0.174800
v: 56410, parent: 72403, key: 0.155300
v: 55865, parent: 39235, key: 0.236600
v: 26282, parent: 55865, key: 0.180000
v: 144, parent: 39235, key: 0.312300
v: 64774, parent: 144, key: 0.157200
v: 46350, parent: 144, key: 0.173900
v: 6803, parent: 46350, key: 0.100800
v: 697, parent: 144, key: 0.174100
v: 88289, parent: 697, key: 0.146100
v: 5691, parent: 88289, key: 0.079300
v: 888, parent: 5691, key: 0.108400
v: 75331, parent: 697, key: 0.185800
v: 42360, parent: 75331, key: 0.161000
v: 35428, parent: 5691, key: 0.246000
v: 43515, parent: 35428, key: 0.119300
v: 7944, parent: 6803, key: 0.255700
v: 43679, parent: 7944, key: 0.194300
v: 1495, parent: 43679, key: 0.037400
v: 79682, parent: 43679, key: 0.052000
v: 63153, parent: 79682, key: 0.051700
v: 63949, parent: 43679, key: 0.173800
v: 41603, parent: 63949, key: 0.172900
v: 81777, parent: 79682, key: 0.214600
v: 93820, parent: 64774, key: 0.259800
v: 88410, parent: 93820, key: 0.056300
v: 84091, parent: 88410, key: 0.020200
v: 63582, parent: 93820, key: 0.091300
v: 45885, parent: 63582, key: 0.020200
v: 65678, parent: 88410, key: 0.099900
v: 49760, parent: 88410, key: 0.140500
v: 25390, parent: 49760, key: 0.117600
v: 33086, parent: 25390, key: 0.072100
v: 63403, parent: 33086, key: 0.134800
v: 72143, parent: 63582, key: 0.165400
v: 54860, parent: 63403, key: 0.177000
v: 2898, parent: 54860, key: 0.025400
v: 54090, parent: 54860, key: 0.136700
v: 34206, parent: 54090, key: 0.179300
v: 93806, parent: 34206, key: 0.182900
v: 25717, parent: 93806, key: 0.061100
v: 21070, parent: 63403, key: 0.183800
v: 99522, parent: 2898, key: 0.199600
v: 98837, parent: 99522, key: 0.106200
v: 62766, parent: 98837, key: 0.137000
v: 70145, parent: 62766, key: 0.016800
v: 63010, parent: 99522, key: 0.204100
v: 53164, parent: 54090, key: 0.225500
v: 98351, parent: 49760, key: 0.238900
v: 58452, parent: 98351, key: 0.121100
v: 28600, parent: 84091, key: 0.243400
v: 29496, parent: 65678, key: 0.253500
v: 34605, parent: 29496, key: 0.080700
v: 21708, parent: 29496, key: 0.091600
v: 17400, parent: 29496, key: 0.168800
v: 6659, parent: 54860, key: 0.257300
v: 11070, parent: 6659, key: 0.055000
v: 52876, parent: 6659, key: 0.131800
v: 47271, parent: 6659, key: 0.269300
v: 14189, parent: 47271, key: 0.019600
v: 2651, parent: 14189, key: 0.211700
v: 11415, parent: 5691, key: 0.269700
v: 51636, parent: 11415, key: 0.130800
v: 30126, parent: 88410, key: 0.275600
v: 31465, parent: 30126, key: 0.268000
v: 81271, parent: 31465, key: 0.016900
v: 76932, parent: 31465, key: 0.060700
v: 31513, parent: 81271, key: 0.069700
v: 18530, parent: 17400, key: 0.282700
v: 71768, parent: 63153, key: 0.286100
v: 24407, parent: 71768, key: 0.061300
v: 44257, parent: 71768, key: 0.104200
v: 27097, parent: 44257, key: 0.039500
v: 16958, parent: 24407, key: 0.171900
v: 76436, parent: 16958, key: 0.223800
v: 31194, parent: 44257, key: 0.277000
v: 3740, parent: 31194, key: 0.111800
v: 27528, parent: 31194, key: 0.141400
v: 37606, parent: 27528, key: 0.062500
v: 8608, parent: 31194, key: 0.228700
v: 26218, parent: 34206, key: 0.286200
v: 89918, parent: 84091, key: 0.288900
v: 68328, parent: 89918, key: 0.036200
v: 4067, parent: 89918, key: 0.135300
v: 21842, parent: 89918, key: 0.219900
v: 75346, parent: 21842, key: 0.108000
v: 65366, parent: 75346, key: 0.279500
v: 6474, parent: 65366, key: 0.274800
v: 12008, parent: 18530, key: 0.289200
v: 61403, parent: 81777, key: 0.298500
v: 50902, parent: 89918, key: 0.300900
v: 56356, parent: 50902, key: 0.098500
v: 58438, parent: 50902, key: 0.172500
